Asset.ID,Time.to.break,Previous.bursts,index,AC,CI,DI,Other,PE,PVC,SI,Steel,NOT_PRESENT,PRESENT,Grassland,Rural,Urban,Alluvial,Brown_earths,Ground_water_gleys,Peats,Podzols,Regosols,Surface_water_gleys,Diameter,Length,Year
407709,12640,1,1106,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.708377254,0.841231937
407713,8935,0,1107,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.429334595,1.383759054,1.20450354
407713,9883,1,1108,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.429334595,1.383759054,1.20450354
407726,9458,0,1109,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.802512575,-0.642981766,0.768577616
407726,10430,1,1110,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1.802512575,-0.642981766,0.768577616
407961,17387,0,1111,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,-0.690297351,0.550614654
407961,17459,1,1112,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.193976166,-0.690297351,0.550614654
407980,1502,0,1113,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.39672218,-0.195938258,1.713083785
407980,1722,1,1114,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.39672218,-0.195938258,1.713083785
407989,11605,0,1115,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.421296958,0.550614654
407989,16163,1,1116,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.421296958,0.550614654
407991,15336,0,1117,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.664640702,0.623268975
407991,15360,1,1118,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.664640702,0.623268975
407993,10846,0,1119,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.650835459,0.623268975
407993,15424,1,1120,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.650835459,0.623268975
408043,19715,0,1121,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,0.174650612,-0.175928553
408043,20034,1,1122,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,0.174650612,-0.175928553
408101,9707,0,1123,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.533356361,0.659596135
408101,9714,1,1124,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.226439398,-0.533356361,0.659596135
408104,11919,0,1125,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2.382792839,-0.31444875,0.441633173
408104,18636,1,1126,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2.382792839,-0.31444875,0.441633173
408112,12466,0,1127,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.654795779,0.441633173
408112,13401,1,1128,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.654795779,0.441633173
408113,17008,0,1129,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.325861869,0.441633173
408113,17420,1,1130,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.325861869,0.441633173
408141,33665,0,1131,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.408408879,-1.447379165
408141,38040,1,1132,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.408408879,-1.447379165
408147,31715,0,1133,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.836731436,-0.091619787,-1.447379165
408147,31771,1,1134,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.836731436,-0.091619787,-1.447379165
408154,14656,0,1135,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2.382792839,-0.464351837,0.368978852
408154,19704,1,1136,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2.382792839,-0.464351837,0.368978852
408156,12127,0,1137,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.652376453,0.441633173
408156,12813,1,1138,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.652376453,0.441633173
408158,15360,0,1139,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.21215255,0.332651692
408158,17028,1,1140,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.21215255,0.332651692
408174,20802,0,1141,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.616832325,-0.175928553
408174,23715,1,1142,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.616832325,-0.175928553
408175,19367,0,1143,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.532052025,-0.175928553
408175,20065,1,1144,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.532052025,-0.175928553
408188,10365,0,1145,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.095659807,0.550614654
408188,10637,1,1146,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.836731436,-0.095659807,0.550614654
408199,20661,0,1147,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.836731436,-0.32188768,-0.175928553
408199,21596,1,1148,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.836731436,-0.32188768,-0.175928553
408220,17665,0,1149,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.321377635,-0.485046926,-0.175928553
408220,18313,1,1150,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.321377635,-0.485046926,-0.175928553
408371,16116,0,1151,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.224683768,0.091012882,0.296324532
408371,16339,1,1152,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1.224683768,0.091012882,0.296324532
408374,18196,0,1153,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.193976166,1.333738431,0.259997371
408374,19183,1,1154,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.193976166,1.333738431,0.259997371
408586,21189,0,1155,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.649808128,-0.284910034
408586,22990,1,1156,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.649808128,-0.284910034
409104,20109,0,1157,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.836731436,-0.466078229,-0.175928553
409104,20298,1,1158,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.836731436,-0.466078229,-0.175928553
409121,18996,0,1159,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.585791547,-0.212255713
409121,21203,1,1160,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.585791547,-0.212255713
409123,19725,0,1161,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.271619726,-0.212255713
409123,20467,1,1162,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.271619726,-0.212255713
409124,18618,0,1163,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.193976166,-0.584957047,-0.212255713
